complaint_type,descriptor,count
DCA / DOH New License Application Request,Home Improvement Salesperson License,410
DOF Property - Payment Issue,Incorrect Amount Paid,408
Street Light Condition,Bracket Arm Missing,407
Food Establishment,Pesticide,407
DHS Advantage -Landlord/Broker,Returning Payment,406
Highway Sign - Damaged,Electronic Sign - Overhead,404
LinkNYC,WiFi/Internet Not Working/Slow,400
Street Condition,Maintenance Cover,394
Consumer Complaint,Electronics Repair Store,394
HPD Literature Request,Housing Education Program Course Guide,393
Water Conservation,Illegal Use Of Hose - Other (CCO),393
DOF Property - Payment Issue,Status of Refund,387
Consumer Complaint,Damaged/Defective Parts,387
Violation of Park Rules,Unauthorized Posting of Signs,386
Parking Card,Not Received - Vending Machine,383
Mobile Food Vendor,Food Temperature,381
Literature Request,MERCHANT CLEAN COMM. FLYER,378
Food Establishment,Plumbing,373
Day Care,Summer Camp,370
Pet Shop,Dogs or Cats Not Sold,368
DOF Property - Reduction Issue,Commercial Other Exemption,368
Consumer Complaint,Mail Order,367
Commercial Disposal Complaint,Waste Disposal,365
DCA / DOH New License Application Request,Secondhand Dealer Auto License,365
CONSTRUCTION,RAIN LEADER,364
Broken Muni Meter,Bent/Loose,363
Beach/Pool/Sauna Complaint,Safety Equipment/Signs,361
Dirty Conditions,E7 Private Carter Spillage,360
School Maintenance,Graffiti,356
Lost Property,Jewelry,355
Indoor Air Quality,Human Feces,354
Food Establishment,Toxic Chemical/Material,352
Public Payphone Complaint,Phone Blocking Sidewalk,350
DCA / DOH New License Application Request,Full Term Tattoo License,348
Water Quality,Other Water Problem (Use Comments) (QZZ),346
Obstruction,Sidewalk Display,346
Literature Request,COMMERICAL BOOKLET-SMALL VERSION,344
Sanitation Worker or Vehicle Complaint,Idling or Blocking Traffic,344
Food Establishment,Allergy Information,342
NONCONST,SIGNAGE,340
Dumpster Complaint,Uncovered,339
Street Condition,Plate Condition - Anti-Skid,339
Tattooing,Minor Received Tattoo,338
Consumer Complaint,"Clothing, Shoe, or Accessories Store",338
Forensic Engineering,Building Under Structural Monitoring,335
Consumer Complaint,Secondhand Dealer,335
Bridge Condition,Fallen Debris from Bridge,335
Found Property,Clothing/Glasses,334
Plumbing,Bathtub/Shower,334
Consumer Complaint,Laundromat,333
Green Taxi Complaint,Driver Complaint - Non Passenger,332
Tattooing,Dirty/Inadequate Equip./Facility,330
Standing Water,Basement,329
Illegal Animal Sold,Other,326
Highway Sign - Missing,Other/Unknown,324
Consumer Complaint,Labor violation,324
Vaccine Mandate Non-Compliance,Vaccine Rules Not Posted,323
Food Establishment,Water,321
Water Conservation,"Other Water Waste Problem, (Use Comments) (CZZ)",321
Boilers,Boiler - Fumes/Smoke/Carbon Monoxide,320
Bridge Condition,Guard Rail - Bridge,318
Snow or Ice,Snow Tracking,317
Traffic Signal Condition,In Conduit,316
OEM Literature Request,Ready NY - Kids - Elementary School Students,311
Illegal Posting,Flyer or Handbill,308
Noise,Noise: Loud Music/Nighttime(Mark Date And Time) (NP1),308
Appliance,Electric/Gas Range,307
Consumer Complaint,E-Cigarette Sales,303
Sewer,Street Cave-In / Depression (SG),302
Illegal Animal Sold,Turtle Under 4 inches Long,301
Illegal Animal Kept as Pet,Snake,300
Forms,Office of Preventive Technical Assistance/OPTA,300
Water Leak,Damp Spot,299
OEM Literature Request,Ready NY - Seniors and Disabled - English,297
Non-Emergency Police Matter,Street Con Game,297
Water Conservation,Illegal Use Of Hose - Private Residence  (CCR),296
Residential Disposal Complaint,Refrigerator or Freezer Door Attached,296
Highway Condition,Guard Rail - Highway,296
Forensic Engineering,Woodside Settlement Project,296
DCA / DOH New License Application Request,Frozen Dessert Manufacturer License,293
Noise - Helicopter,Flying Too Low,290
Water Quality,Defective Water Sampling Station (QSS),286
Traffic Signal Condition,Dead End Signal,285
DOF Parking - Payment Issue,Marshal - Not Reflected,285
Bereavement Support Group,N/A,282
Non-Emergency Police Matter,Ticket Scalping,280
Advocate - Other,Property - Other Billing Issue,280
Consumer Complaint,Non-Delivery of Papers,278
Borough Office,Restroom Non-Complaince With Local Law 79/16,278
Air Quality,"Air: Dust, Commercial (AE2)",277
Forms,Community Outreach,277
Literature Request,RECYCLABLES THEFT TIP FORM,276
Noise - Helicopter,Hovering,276
Highway Sign - Missing,Exit/Route,275
Incorrect Data,Collection Days,274
Public Payphone Complaint,Illegal Activity by Phone,274
Consumer Complaint,Locksmith,273
Tattooing,Dirty/Inadequate Eqp/Facility,272
OEM Literature Request,Ready NY - Flooding,271
NONCONST,JANITOR/SUPER,268
Consumer Complaint,Rental Hall,264
DPR Internal,Locker Break-in/Incident,264
Squeegee,N/A,260
Standing Water,Roof Gutters,259
DCA / DOH New License Application Request,Cigarette Retail Dealer License,257
Home Care Provider Complaint,N/A,257
Consumer Complaint,Hotel or Motel,255
Industrial Waste,OTHER INDUSTRIAL WASTE PROBLEM (USE COMMENTS) FOR DEP INTERNAL USE ONLY (IZ),255
Case Management Agency Complaint,N/A,254
Forms,Mandated Reporters,254
Outdoor Dining,Table Not in Compliance,253
Appliance,Refrigerator,252
DRIE,Update Tenant Information,252
HPD Literature Request,New Lead Law Rights and Requirements,250
Air Quality,"Air: Odor/Fumes, Private Carting (AD4)",250
Consumer Complaint,Gender Pricing,249
ATF,,248
NONCONST,SMOKE DETECTOR,247
DOF Property - Reduction Issue,Commercial CEP or CRP Exemption,247
DRIE,TAC Report,247
Air Quality,"Air: Odor/Fumes, Dry Cleaners (AD1)",247
DCA / DOH New License Application Request,Stoop Line Stand License,246
For Hire Vehicle Complaint,Driver Report - Non Passenger,244
Water Maintenance,Leak,244
Street Sign - Dangling,Yield,244
Question,Real Property Tax Assessment/Correction,243
Safety,Student Being Harassed,243
HPD Literature Request,Senior Citizen Home Assistance Program (SCHAP) Loan,243
DCA / DOH New License Application Request,Newsstand License,242
Forensic Engineering,Sandy: Building Destroyed,241
Forensic Engineering,Bowstring Truss Tracking Complaint,241
HPD Literature Request,HPD Guide to Programs and Services,239
Street Light Condition,Fire Alarm Lamp Out,239
DOF Property - Reduction Issue,Personal Clergy Exemption,235
Plumbing,Toilet,235
DCA / DOH New License Application Request,Barbershop License,234
Standing Water,Fountain - Over 5 Gallons,233
Consumer Complaint,Non-Disclosure of Fees,233
Bike Rack Condition,Chained Bike,231
General Construction/Plumbing,Safety Inspection-Retaining Walls (May 2005),230
Ferry Complaint,Cleanliness,229
DPR Internal,Lost/Missing Person,228
General,Cabinet,228
APPLIANCE,AIR-CONDITIONER,227
Street Light Condition,Flood Light Lamp Dayburning,226
DOF Property - Payment Issue,Payment Misapplied,225
Consumer Complaint,Improper Sale of Items,224
Dirty Conditions,E3B Sidewalk Obstruction,222
Consumer Complaint,Illegal/Unfair Booting,222
Traffic Signal Condition,Weather Head,221
Violation of Park Rules,Unauthorized Climbing,221
Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",220
OEM Literature Request,Ready NY - Pets - English,219
DOF Property - Reduction Issue,Commercial 421B Exemption,219
Private School Vaccine Mandate Non-Compliance,Staff Not Vaccinated,219
Violation of Park Rules,Removing Flowers/Plants,218
Standing Water,Flower Planters,216
Consumer Complaint,Tour Company,216
Street Light Condition,Bracket Arm Broken,216
Traffic Signal Condition,Ver Mesage Sign RTPI,213
Street Light Condition,Flood Light Lamp Missing,212
Forms,"Education Support, Policy, and Practice",211
General,Bell/Buzzer/Intercom,210
Water Conservation,Water Meter Stolen/Missing - Other (CLO),209
Commercial Disposal Complaint,Trash Not Separated from Recycling,209
Industrial Waste,Waterway-Sewage (IHA),206
Discipline and Suspension,Student/Parent Rights,204
Bridge Condition,Fence,203
HPD Literature Request,The ABCs of Housing - Chinese,200
School Maintenance,Lack of Supplies,200
Electric,Power Outage,200
Consumer Complaint,For-profit College,199
DOF Property - Payment Issue,Payment Not Shown,199
OEM Literature Request,Hurricane Preparedness - Spanish,199
Ferry Complaint,Restrooms,198
Traffic/Illegal Parking,Unauthorized Bus Layover,197
Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,196
DCA / DOH New License Application Request,Tow Truck Driver License,195
Water System,installation of hydrant side post (WHFP),194
Consumer Complaint,Scale Dealer/Repairer,193
General Construction/Plumbing,"Smoking Signs - No Smoking Signs Not Observed on Construction Site",193
OEM Literature Request,Ready NY - Spanish - Full Size,192
Sewer,Trench (SZZ1),192
Bus Stop Shelter Complaint,Damaged Leg or Pole Bent,191
OEM Literature Request,Ready NY - Kids - Middle and High School Students,190
Ferry Complaint,Homeless Issue,188
NONCONST,SMOKE-FUMES,186
DOF Property - Reduction Issue,Homestead,186
Curb Condition,Curb Violation,185
Hazardous Materials,Other Hazmat Problem (HZZ),185
Street Light Condition,Flood Light Lamp Dim,185
Transportation Provider Complaint,N/A,183
FCST,,183
Consumer Complaint,Layaway Terms Not Provided,181
Consumer Complaint,Home Heating Oil Company,181
Bus Stop Shelter Complaint,Damaged or Missing Ad Box,179
Calorie Labeling,Failure to Post Calorie Information,178
Food Establishment,Sign,178
Consumer Complaint,Gas Station Pumps,178
Question,Other,178
Violation of Park Rules,Use of Newly Seeded Lawn,178
Highway Sign - Dangling,Other/Unknown,177
Lost Property,Book/Stationery,176
Traffic Signal Condition,Sign,176
Legal Services Provider Complaint,N/A,176
General Construction/Plumbing,Deck Inspection,176
DCA / DOH New License Application Request,Employment Agency License,175
Street Sign - Dangling,Construction,175
Safety,School Safety,173
DOF Property - Reduction Issue,Commercial UDAAP Exemption,173
Teaching/Learning/Instruction,Classroom Learning,173
Highway Sign - Dangling,Exit/Route,172
Consumer Complaint,Pawn Broker,171
School Maintenance,Broken Water Fountain,169
Consumer Complaint,ID Requirement Not Posted,169
Industrial Waste,Waterway-Color (IHD),169
DCA / DOH New License Application Request,Sidewalk Cafe License,169
Literature Request,LAWN LITTER LAW MULTIPLE DWELLING PROPERTY,168
Taxpayer Advocate Inquiry,Property - Other Billing Issue,168
Literature Request,DIGEST OF CODES/SPANISH,167
Street Light Condition,Bracket Arm Bent,167
DCA / DOH New License Application Request,Sightseeing Guide License,167
Street Condition,Defacement,167
Consumer Complaint,Department Store or Megastore,165
Consumer Complaint,Required Signage Not Posted,164
DOF Property - Payment Issue,Unresolved Other Agency Charge,164
General Construction/Plumbing,Damage Assessment Request (Disaster),164
Traffic Signal Condition,Controller Flasher,162
HPD Literature Request,Notice of Housing Code Enforcement Issues,161
Street Light Condition,Fire Globe Missing,161
Water Quality,"Clear Water With Organisms (Insects, Worms) (QE2)",161
Street Sign - Damaged,Detour,159
Smoking,Flavored Tobacco,158
Traffic Signal Condition,On Structure,158
OEM Literature Request,Ready NY My Emergency Plan - Spanish,157
Street Light Condition,Fire Alarm Lamp Missing,157
Street Light Condition,Control Panel Damaged,156
Consumer Complaint,"Smoking, Cigar, or Vape Store",155
DCA / DOH New License Application Request,Seasonal Food Cart Vendor Permit,155
DHS Income Savings Requirement,Disbursement Form Request,154
Consumer Complaint,High Pressure to Take on Loan/Debt,154
Recycling Enforcement,ER4 City Agency (Inst. Recycling),154
Traffic/Illegal Parking,Truck Route Violation,154
Public Toilet,New Automatic Public Toilet Request,154
Sewer,RAIN GARDEN FLOODING (SRGFLD),152
DPR Internal,Illegal Dumping,150
Industrial Waste,Waterway-Oil/Gasoline (IHB),150
GENERAL,WINDOW GUARDS,150
Question,FOIL Request - Request for Records,149
Hazardous Materials,"Unsafe Chemical, Unknown (HC3)",149
Snow or Ice,Pedestrian Feature,149
DCA / DOH New License Application Request,Process Server Organization License,149
Street Light Condition,Wood Pole Leaning,148
Summer Camp,Staff/Supervision/Permits,147
Consumer Complaint,Ticket Broker,146
GENERAL,STAIRS,146
Noise - Helicopter,Passing By,146
Public Toilet,Dirty/Graffiti,145
Traffic Signal Condition,Box Cover,144
Dept of Investigations,Integrity Complaint Referral,144
School Maintenance,Broken Fence,142
Noise,Noise: Vehicle (NR2),142
Advocate-Personal Exemptions,Personal STAR Exemption,141
Health,Unhealthy Condition in School,141
DCA / DOH New License Application Request,Non Retail Food Processing Establishment License,139
Plant,DRY WEATHER DISCHARGE - DWD,139
Water Maintenance,Water in Basement,138
Municipal Parking Facility,Snow Removal,137
Recycling Basket Complaint,Overflowing,137
Highway Condition,Sign Blocked by Tree,136
Water Drainage,Drain/Pipe Clogged,136
Ferry Complaint,Announcements,135
OEM Literature Request,Ready NY Beat the Heat - English,135
Construction Safety Enforcement,Interior Demo Tracking Complaint,134
Public Toilet,Damaged Other,134
DCA / DOH New License Application Request,Catering Establishment License,133
DCA / DOH New License Application Request,Cabaret License,133
CONSTRUCTION,VACANT APARTMENT,132
Traffic Signal Condition,Reflector/Louvre,132
Street Condition,Strip Paving,131
Standing Water,Bird Bath,131
Consumer Complaint,Newsstand,130
Safety,Altercation on School Property,130
School Maintenance,Leaky Roof,129
HPD Literature Request,Certificate of No Harassment or Exemption - SRO,129
Sewer,RAIN GARDEN PLANTING (GIRGP),129
HPD Literature Request,The ABCs of Housing - Russian,128
Consumer Complaint,Lost Property,128
Plumbing,Plumbing Enforcement Work Order (DOB),127
Peeling Paint,Peeling Paint Inside Home,127
Construction Safety Enforcement,CSC - Scaffolding,126
DCA / DOH New License Application Request,Animal Grooming License,125
Water System,Plate Missing/Moved-Exposing Hole (WF4),125
DOF Property - Payment Issue,EFT or Online Payment Problem,124
DCA / DOH New License Application Request,Locksmith License,123
Consumer Complaint,Process Server,122
Bridge Condition,Decorative Necklace Lighting,122
Noise,Noise,120
OEM Literature Request,Summer Heat - English,120
OEM Literature Request,Ready NY - Reference Card,120
Water Conservation,Illegal Use Of Hose - Private Residence,120
Traffic Signal Condition,Turn Signal,119
Mold,Loft Building,119
Ferry Complaint,Disruptive Passenger,119
Forms,Media Inquiries,118
APPLIANCE,MICROWAVE,118
General,Cooking Gas,118
DCA / DOH New License Application Request,Licensed Home Improvement Contractor Bumper Sticker,117
OEM Literature Request,Ready NY - Spanish - Pocket Size,116
Door/Window,Door Frame,116
Consumer Complaint,Scrap Metal Processor,116
SAFETY,OUTLET COVER,115
Air Quality,"Air: Soot, Other (Use Comments) (AB4)",114
Violation of Park Rules,Unauthorized Film Shoot,113
Plant,Plants- Noise Related Problems (PN1),113
Other Enforcement,E99 Other Requests For Enforcement,113
Municipal Parking Facility,"Dirt, Litter, Debris - Lot",112
Traffic Signal Condition,Sidewalk Pull Box Co,112
DOF Parking - Payment Issue,Status of Refund,111
Seasonal Collection,Leaves,111
Traffic Signal Condition,Ped Visor,110
DHS Advantage - Third Party,Lease Expiring,109
X-Ray Machine/Equipment,Exposure Unnecessary,109
Cooling Tower,Broken/Defective,109
Sidewalk Condition,Sidewalk Caf̩,109
Air Quality,Air: Odor/Fumes,108
Discipline and Suspension,Suspension Process,108
DCA / DOH New License Application Request,Garage or Parking Lot License,108
Traffic Signal Condition,Detector Sensor,107
Street Sign - Missing,Honorary,107
LinkNYC,Blocking Sidewalk,107
Lot Condition,Appliances,106
Beach/Pool/Sauna Complaint,Beach/Pool/Sauna Unpermitted,105
LinkNYC,Touchscreen/Button Not Working,105
Building Drinking Water Tank,Unsanitary Condition,105
Sewer,RAIN GARDEN STRUCTURE (GIRGS),105
Smoking,Shisha,105
General Construction/Plumbing,Vesting Inspection,104
DCA / DOH New License Application Request,General Vendor Distributor License,104
Lifeguard,Inattentive,104
Found Property,Jewelry,103
Sewer,DAMAGE STRUCTURE/RAILING (SRGDM),103
SCRIE,Application Portability,103
Question,Citywide Procurement,102
Registration and Transfers,Transfer,102
Bus Stop Shelter Complaint,Damaged or Leaking Roof,102
Consumer Complaint,Shipping Company,102
Highway Condition,Concrete Barrier,102
Lifeguard,Absent,101
Highway Sign - Missing,Construction,101
Literature Request,AGENCY INSTITUTIONAL BROCHURE,101
OEM Literature Request,Hurricane Preparedness - Russian,100
Radioactive Material,Contamination Risk,100
Consumer Complaint,Home Appliance Store,99
OEM Literature Request,Ready NY- Pandemic Flu,99
School Maintenance,Asbestos,99
Mobile Food Vendor,Plumbing,98
Consumer Complaint,Funeral Home,98
Street Sign - Dangling,Detour,98
Taxpayer Advocate Inquiry,Personal Exemptions,98
Traffic Signal Condition,Warning Buzzer,98
Eviction,Homebound Senior,98
Harboring Bees/Wasps,Bees/Wasps - Private Property,97
Broken Parking Meter,Relocation of Parking Meter,96
DOF Parking - Payment Issue,In Person - Not Reflected,95
HPD Literature Request,Housing Quality Standards (HQS) Inspections FAQs - English,94
DCA / DOH New License Application Request,Laundry License,93
Obstruction,Donation Collection Bin,93
Institution Disposal Complaint,Storage Area Not Provided,93
Mold,Workplace - 10 or Less Staff,92
Street Light Condition,Wood Pole Damaged,91
Tattooing,No Consent Form,91
DCA / DOH New License Application Request,Scrap Metal Processor License,91
Teaching/Learning/Instruction,Promotion/Grad Requirements,90
Safety,Smoke Detector,90
Electric,Wiring,89
HPD Literature Request,Emergency Notice,89
Electrical,Electrical Enforcement Work Order (DOB),89
Registration and Transfers,Registration,88
Traffic Signal Condition,Pedestrian Sign,88
Street Light Condition,Wood Pole Wires Exposed,87
Sanitation Condition,12P Dead Deer,87
Question,General Counsel,87
Asbestos,"Asbestos, Other (Use Comments) (BZ)",86
Consumer Complaint,Third-Party Food Delivery Service,85
DCA / DOH New License Application Request,Electronics Store License,84
Advocate-Co-opCondo Abatement,Co-op or Condo Abatement,84
DCA / DOH New License Application Request,Tow Truck Company License,84
Door/Window,Window Pane,84
Special Operations,Semi-Annual Homeless Shelter Inspection: Electrical,83
Noise,Noise: Loud Music/Daytime (Mark Date And Time) (NN1),83
Consumer Complaint,Immigration Services,83
DRIE,Application Appeal,83
Lost Property,Sports Equipment,82
Sanitation Condition,9 Spill/Oil etc,80
Illegal Animal Kept as Pet,Ferret,80
LinkNYC,Graffiti/Dirty Condition,80
Cooling Tower,Unsanitary Condition,79
Foam Ban Enforcement,ER9 FOAM VIOL. RETAILER,79
General,Ventilation System,78
Traffic Signal Condition,Telco Connection Blk,78
DCA / DOH New License Application Request,Electronics and Home Appliance Service Dealer License,77
Traffic/Illegal Parking,Detached Trailer,77
Consumer Complaint,"Gift, Novelty, or Souvenir Store",77
Traffic Signal Condition,Transducer-Loop,77
Safety,Carbon Monoxide Detector,77
Unlicensed Dog,License Violation,77
Traffic Signal Condition,Traffic Camera,76
Consumer Complaint,Gas Station Convenience Store,76
Derelict Vehicles,14 Derelict Vehicles,74
Special Operations,Semi-Annual Homeless Shelter Inspection: Construction,73
Discipline and Suspension,Physical Punishment,72
Street Sign - Missing,Detour,71
Consumer Complaint,Used Goods Dealer,70
Street Light Condition,Wood Pole Knocked Down,70
Consumer Complaint,Door to Door Sales,70
Safety,Fire Escape,69
Special Operations,Semi-Annual Homeless Shelter Inspection: Plumbing,69
Food Establishment,Lighting,69
Consumer Complaint,Online or Mail Order,69
School Maintenance,Broken Lock,69
OEM Literature Request,Hurricane Preparedness - Chinese,68
Broken Muni Meter,Relocation of Muni Meter,68
Consumer Complaint,Jewelry Store,68
DCA / DOH New License Application Request,General Vendor Waiting List Application,67
FHV Licensee Complaint,Licensee Complaint,67
Consumer Complaint,Misleading Appraisal,67
Safety,Window Guard Broken/Missing,66
DOF Property - Payment Issue,Wrong Amount Paid or Withdrawn,66
DEP Street Condition,Defective Catch Basin,66
Consumer Complaint,Electronics or Appliance Repair,65
Summer Camp,Child Safety/Supervision,65
Consumer Complaint,Residential Rental Agency,65
Advocate-Personal Exemptions,Personal DHE Exemption,64
Rodent,Rodent Bite - PCS Only,64
OEM Literature Request,Ready NY - Businesses - English,64
HPD Literature Request,Certificate of No Harassment - Zoning,63
Water Conservation,Illegal Use Of Hose - Private Residence (CCR),63
Parent Leadership,Complaint,63
Traffic Signal Condition,Time Switch,63
Illegal Animal Sold,Farm Animal,63
OEM Literature Request,Ready NY - Businesses,63
DCA / DOH New License Application Request,Going Out of Business Sale License,63
DHS Advantage - Third Party,Court Date Within 7 Days,63
DCA / DOH New License Application Request,Auctioneer License,62
Standing Water,Fountain - Under 5 Gallons,62
Traffic/Illegal Parking,Drag Racing,62
Building Condition,Bikes in Buildings,61
DCA / DOH New License Application Request,Animal Boarding License,61
Bridge Condition,American Flag,61
Cranes and Derricks,Accident - Cranes/Derricks/Suspension Scaffold,61
DOF Property - Reduction Issue,Commercial 421G Exemption,61
HPD Literature Request,Sample Suspected Gas Leak Notice,61
Traffic Signal Condition,Hangers,61
Unstable Building,Shaking/Vibrating,60
Summer Camp,Facility Maint./Cleanliness,59
Public Toilet,Damaged Toilet/Sink,59
HPD Literature Request,Home Improvement Program (HIP) Loan,59
DCA / DOH New License Application Request,Pawn Broker License,59
Consumer Complaint,Hardware Store,59
Forms,Business Opportunities/RFPs,59
Plumbing,Radiator,59
Consumer Complaint,Disabled Device Dealer,59
Illegal Animal Kept as Pet,Monkey,58
Consumer Complaint,General Vendor,58
Green Taxi Report,Driver Report - Passenger,58
Smoking,Cigarette Vending Machine,58
Bottled Water,Other (Explain Below),58
Question,Executive,57
OEM Literature Request,Ready NY My Emergency Plan - Traditional Chinese,56
Traffic Signal Condition,Ver Message Sign,56
Green Taxi Report,Driver Report - Non Passenger,56
Residential Disposal Complaint,Recycling Posters Not Posted,56
Industrial Waste,Waterway-Floatables (IHC),56
Teaching/Learning/Instruction,Bilingual Program,56
Public Toilet,Flooded,56
Mobile Food Vendor,Milk/Dairy Products,56
Comments,Administration,55
Snow Removal,Highway Tracking,54
Dispatched Taxi Complaint,Driver Complaint,53
X-Ray Machine/Equipment,Facility Unregistered,53
Consumer Complaint,Domestic Employee,53
DCA / DOH New License Application Request,Debt Collection Agency License,52
Institution Disposal Complaint,Trash Not Separated from Recycling,52
Street Sign - Dangling,Honorary,52
Food Establishment,Milk Not Pasteurized,52
Special Operations,Special Operations Compliance Inspection,51
Residential Disposal Complaint,Containers Set Out Too Early,51
Literature Request,MASTER COMPOSTER APPLICATION,51
Paint/Plaster,Window/Frame,51
Consumer Complaint,Injury/Safety,50
Research Questions,Other,49
Traffic Signal Condition,Lane Control Signal,49
Bottled Water,Taste,49
Consumer Complaint,Moving Company,49
Question,EEO,49
Taxi Licensee Complaint,Driver Complaint,49
Consumer Complaint,Horse Drawn Carriage,49
OEM Literature Request,Ready NY - Seniors and Disabled - Audio Cassette,49
Tunnel Condition,"Dirt, Debris, Litter Complaint",48
School Maintenance,Broken Window,48
OEM Literature Request,Ready NY - Russian - Full Size,48
Question,Special Events,48
DCA / DOH New License Application Request,Pet Store - New License,47
School Maintenance,Poison Ivy,47
Municipal Parking Facility,Sign Defect - Lot,47
Consumer Complaint,Auction House/Auctioneer,47
Sewer,Street Cave-In *Dep Internal Use Only* (SG1),47
Street Condition,Crack Sealing,46
OEM Literature Request,Ready NY - Small and Mid-Sized Companies,46
OEM Literature Request,Ready NY My Emergency Plan - Russian,46
OEM Literature Request,Ready NY - Seniors and Disabled - Spanish,46
Traffic Signal Condition,Condulet Cover,46
Consumer Complaint,Inaccurate Meter,46
DCA / DOH New License Application Request,Sightseeing Bus License,46
Food Establishment,Sodium Warning,46
OEM Literature Request,Summer Heat - Spanish,46
Consumer Complaint,Jewelry Appraiser,46
Street Sign - Damaged,Honorary,45
Consumer Complaint,Arcade,45
Air Quality,Air: Smoke,44
DHS Advantage - Third Party,Lease Already Expired,44
Illegal Animal Sold,Snake,44
Consumer Complaint,Lack of Safety Equipment,44
Window Guard,Public Area,44
Literature Request,DIGEST OF CODES/CHINESE,42
Highway Sign - Damaged,Construction,42
Lost Property,Musical Instrument,42
Municipal Parking Facility,"Dirt, Litter, Debris - Garage",42
Sewer,Catch Basin Connection Broken *Dep Internal Use Only* (SC5),41
Elevator,Elevator In (Fdny) Readiness - None,41
Advocate-Property Value,Property Value Dispute,41
Single Occupancy Bathroom,Missing/Improper Sign,40
Traffic Signal Condition,Wireless Antenna,40
OEM Literature Request,Ready NY - English - 2007 Guide,40
Water Conservation,"Wasting Faucets,Sinks,Etc., Private Residence (CA1)",40
Food Establishment,Milk Expired,40
Literature Request,"WAHT HAPPENS TO YOUR RECYLABLES,K-6 GRADE",40
Question,Real Estate Services,40
Safety,Altercation off School Property,39
Consumer Complaint,Scale Inaccurate,39
Consumer Complaint,Tour Bus,39
Consumer Complaint,Unrequested Services Provided,39
DCA / DOH New License Application Request,Temporary Tattoo License,39
Found Property,Book/Stationery,38
Consumer Complaint,For-Profit College or University,38
Consumer Complaint,Tour Guide,38
Advocate-Personal Exemptions,Personal Veteran Exemption,38
Consumer Complaint,Time Insufficient,37
OEM Literature Request,Ready NY - Chinese Traditional - Full Size,37
Street Sign - Missing,No Idling,37
Street Sign - Damaged,No Idling,37
Consumer Complaint,Documents/Paperwork Missing,36
Retailer Complaint,Foam Use,36
Illegal Animal Kept as Pet,Iguana,36
Taxpayer Advocate Inquiry,Property Refunds and Credits,35
Consumer Complaint,Tax Preparation Services,35
Special Operations,Multi Agency Joint Inspection,35
Public Toilet,Damaged Door,35
Highway Sign - Dangling,Construction,34
Recycling Basket Complaint,Misuse,34
Trans Fat,N/A,34
Consumer Complaint,Construction Labor Provider,34
Consumer Complaint,Labor Violation,33
Sidewalk Condition,Cellar Door New,33
Snow,15X ICE-SNOW COND./PEDESTRN ACCESS,33
Water System,Plate Noisy/Sunken/Raised (WF5),33
HPD Literature Request,The ABCs of Housing - Arabic,32
Consumer Complaint,Ticket Seller,32
DOF Property - Reduction Issue,Commercial Government Exemption,32
GENERAL,FIRE-ESCAPE,32
Lifeguard,Too Few on Duty,32
Air Quality,"Air: Open Fire, Residential (AC1)",32
Street Light Condition,,32
DEP Street Condition,Depression,32
Air Quality,"Air: Open Fire, Construction/Demolition (AC4)",32
Municipal Parking Facility,Lighting - Garage,32
Consumer Complaint,Gaming Cafe,32
Tunnel Condition,Pothole - Tunnel,32
Question,Facilities Management,31
Highway Sign - Missing,Speed Limit,31
Consumer Complaint,Amusement Ride,31
Tunnel Condition,Fallen Debris from Tunnel,31
Green Taxi Complaint,Vehicle Complaint,31
Literature Request,SCHOOL'S RECYCLING POSTER (LIMIT 150),31
OEM Literature Request,Ready NY My Emergency Plan - Haitian Creole,31
Consumer Complaint,Bingo Hall,30
OEM Literature Request,Winter Health and Safety Tips Guide,30
Consumer Complaint,Immigration Services Provider,30
Radioactive Material,User Unlicensed,30
Highway Sign - Damaged,Speed Limit,30
Question,Information Technology,30
X-Ray Machine/Equipment,Technician Unlicensed,29
ZTESTINT,ZTESTINT,29
Plumbing,Steam Pipe/Riser,29
Street Sign - Missing,Do Not Block the Box,29
Sewer,Recurring after SOAP *FOR DEP INTERNAL USE ONLY* (SRAS),29
General Construction/Plumbing,Non-Compliance w/Lightweight Materials,29
HPD Literature Request,Loan Brochures,29
DOF Property - Reduction Issue,MCI Abatement,28
X-Ray Machine/Equipment,Exposure from Nearby Facility,28
Teaching/Learning/Instruction,Special Education,28
Summer Camp,Ill Staff,28
Consumer Complaint,Dealer in Products for the Disabled,28
Street Light Condition,Wood Pole Missing,27
Teaching/Learning/Instruction,Academic Intervention Services,27
DOR Literature Request,Death Certificate Before 1949 Order Form,27
DCA / DOH New License Application Request,Retail Laundry License Application,27
DCA / DOH New License Application Request,Tobacco Retail Dealer License Application,27
Traffic Signal Condition,Stop Temporary,27
DCA / DOH New License Application Request,Laundry Jobber License,26
Boiler,Defective,26
Consumer Complaint,No or Defective Headphones,26
Tanning,Facility General,26
Consumer Complaint,Art Supply Store,26
Street Sign - Damaged,Do Not Block the Box,26
DCA / DOH New License Application Request,Portable Amusement Ride License,25
HPD Literature Request,Interruption of Essential Services Notice,25
Noise - House of Worship,Loud Television,25
Street Condition,Dumpster - Causing Damage,25
DPR Internal,Beach/Pool Closure,25
OEM Literature Request,Ready NY - Haitian Creole - Full Size,25
Lifeguard,Not Certified,25
Paint/Plaster,Cabinet,25
Snow or Ice,Bike Lane,25
Unstable Building,Leaning,25
